fr,en,de,it
install server central prérequis,central server install prerequisites,Installation zentraler Server Voraussetzungen,install server central prerequisiti
installation,installation,Installation,installazione
installation alfaset,alfaset installation,installation alfaset,installazione alfaset
installation alfaset calibration et changement adaptateurs,alfaset installation calibration and adapter change,installation alfaset kalibrierung und adapterwechsel,installazione alfaset calibrazione e cambio adattatori
installation des batteries neuves,new battery installation,Einsetzen der neuen Batterien,installazione di batterie nuove
installation et calibrage,installation and calibration,installation und kalibrierung,installazione e calibratura
installation et déplacement,installation and relocation,aufstellung und standortwechsel,installazione e spostamento
installation logiciel écran tactile,touchscreen software installation,Installation der Touchscreen-Software,installazione software schermo tattile
installation machine,machine installation,Maschineninstallation,installazione macchina
installation manual,installation manual,Installationshandbuch,manuale di installazione
installation mécanique,mechanical installation,mechanische Installation,installazione meccanica
installation nouvelle version nanogrind et psmart,installation of new version of nanogrind and psmart,Installation der neuen Version von Nanogrind und Psmart,installazione nuova versione nanogrind e psmart
installation pneumatique,pneumatic system,Pneumatiksystem,impianto pneumatico
installation sur votre poste,installation on your workstation,Installation an Ihrem Arbeitsplatz,installazione sulla vostra postazione
installation électrovanne cnc xsxw i festo,solenoid valve installation cnc xsxw i festo,Elektroventil-Installation CNC XSXW I Festo,installazione elettrovalvola cnc xsxw i festo
installation électrovanne cncxsxw smc,solenoid valve installation cncxsxw smc,Magnetventil-Installation cncxsxw smc,installazione elettrovalvola cncxsxw smc
installationconfiguration sur les machines,installation configuration on the machines,installationkonfiguration auf den maschinen,installazioneconfigurazione sulle macchine
installationsanleitung,installation instructions,installationsanleitung,istruzioni di installazione
installer des modules personnalisés,install custom modules,installation benutzerdefinierter module,installare dei moduli personalizzati
installer les bordures inférieures,install the lower edge profiles,die unteren Randprofile installieren,installare i bordi inferiori
installer manuellement une rampe d'arrosage,manually install a coolant distributor,eine Kühlschmierstofframpe manuell installieren,installare manualmente una rampa di lubrificazione
installer vgpro,installing vgpro,Installation von vgpro,installare vgpro
installeur mysql,mysql installer,MySQL-Installer,installatore mysql
installeur mysql sélection produits,mysql installer product selection,mysql installationsprogramm produktauswahl,installatore mysql selezione prodotti
installeur mysql type dinstallation,mysql installer setup type,mysql installationsprogramm installationstyp,installatore mysql tipo dinstallazione
insérer,insert,einfügen,inserire
insérer les valeurs barreau,enter the blank values,die Rohlingwerte eingeben,inserire i valori del grezzo
insérer tous les paramètres robot,insert all robot settings,alle Roboterparameter einfügen,inserire tutti i parametri del robot
insérez,enter,einfügen,inserire
inte air comprimé produits nocifs,forbidden compressed air harmful products,verbot druckluft schädliche produkte,inte aria compressa prodotti nocivi
inte cravate,inte tie,inte Krawatte,inte cravatta
inte définition pictogramme,inte pictogram definition,inte Piktogrammdefinition,inte definizione pittogramma
inte jamais utiliser acétone,forb never use acetone,verbot niemals azeton verwenden,inte non utilizzare mai acetone
interdiction,strictly forbidden,streng verboten,strettamente vietato
interface programmes utilisateur,user programs interface,Programm-Benutzerschnittstelle,interfaccia programmi utente
interface utilisateur,user interface,Benutzeroberfläche,interfaccia utente
interlock axis error,interlock axis error,Interlock-Achsenfehler,errore asse di interblocco
interlock axis m error,interlock axis m error,Fehler Verriegelung Achse M,errore di interblocco asse M
interlock axis p error,axis p interlock error,Verriegelungsfehler Achse P,errore di interblocco asse P
interlock error,interlock error,Verriegelungsfehler,errore di interblocco
interpolation,interpolation,Interpolation,interpolazione
interpolation circulaire axes,circular interpolation axes,Kreisinterpolationsachsen,assi di interpolazione circolare
interrupteur,switch,Schalter,interruttore
interrupteur cn onoff,cnc onoff switch,cnc onoff schalter,interruttore cn onoff
interrupteur cnc off,CNC off switch,CNC-Off-Schalter,interruttore CNC off
interrupteur cnc on,CNC ON switch,CNC-ON-Schalter,interruttore CNC ON
interrupteur principal,main switch,Hauptschalter,interruttore principale
interrupteur principal unité alimentation,power supply unit main switch,Hauptschalter der Versorgungseinheit,interruttore principale unità di alimentazione
interrupteur à clé,key switch,Schlüsselschalter,interruttore a chiave
interrupteur à clé en mode axes,key switch in axes mode,Schlüsselschalter im Achsenmodus,interruttore a chiave in modalità assi
interrupteur à clé en mode broche,key operated switch in spindle mode,Schlüsselschalter im Spindelmodus,interruttore a chiave in modalità mandrino
interrupteur à clé en mode portes,key switch in doors mode,Schlüsselschalter im Türmodus,interruttore a chiave in modalità porte
interrupteur à positions,three position switch,Dreistellungsschalter,interruttore a tre posizioni
interrupteur électrique principal,main electrical switch,hauptschalter,interruttore elettrico principale
interrupteurs,switches,Schalter,interruttori
intervalle après n k,interval after n k,Intervall nach n k,intervallo dopo n k
intervalle dentretien,maintenance interval,Wartungsintervall,intervallo di manutenzione
introducrion,introduction,einführung,introduzione
introduction,introduction,einleitung,introduzione
introduire les valeurs soulignées,enter the underlined values,die unterstrichenen werte eingeben,inserire i valori sottolineati
introduire une valeur linéaire,enter a linear value,einen linearen wert eingeben,inserire un valore lineare
inutilisé,unused,nicht verwendet,non utilizzato
inverse rotation sous vitesse débauche,reverse rotation at roughing speed,drehrichtung umkehren bei drehzahl schruppscheibe,rotazione inversa a velocità di sgrossatura
inversé,reversed,gespiegelt,invertito
ip fixe,static ip,feste ip,ip fisso
ipconfig,ipconfig,ipconfig,ipconfig
iso,iso,iso,iso
iso easy,iso easy,iso easy,iso easy
iso programme,ISO program,ISO-Programm,programma ISO
iso programme corrompu,corrupted iso program,iso programm fehlerhaft,programma iso danneggiato
iso programme xd,corrupted isoxd,beschädigtes isoxd,isoxd danneggiato
item code,item code,artikel nummer,item codice
item description,item description,artikel beschreibung,item descrizione
item mors fixe,fixed jaw item,Artikel Festbacke,articolo morso fisso
item mors mobile,moving jaw item,Artikel beweglicher Backen,item morso mobile
jauge,gage,Füllstandsanzeige,indicatore di livello
jeu,play,Spiel,gioco
job manager,job manager,Job-Manager,job manager
jog,jog,jog,jog
joint o ring,o ring seal,o ring,guarnizione o ring
jour fixe,fixed day,fester Tag,giorno fisso
jour fixechaque jour,fixed dayevery day,fester Tagjeden Tag,giorno fissoogni giorno
journalier et semaine,daily and weekly,täglich und wöchentlich,giornaliero e settimanale
journalière,daily,täglich,giornaliera
jpg png gif ou bmp,jpg png gif or bmp,jpg png gif oder bmp,jpg png gif o bmp
jumpprobeprod,jumpprobeprod,jumpprobeprod sprungabtastungprod,jumpprobeprod
jusqu,up to,bis zu,fino a
jusquà cassettes,up to cassettes,bis zu kassetten,fino a cassette
jusquà mm,up to mm,bis mm,fino a mm
k et k,k and k,k und k,k e k
k option,k option,k Option,k opzione
k option cassette grande capacité,k option large capacity cassette,k option kassette mit großer kapazität,k opzione cassetta grande capacità
k option installation dun cooljet,k option installation of a cooljet,K-Option Einbau eines Cooljet,opzione K installazione di un Cooljet
k option pinces robot pneumatiques,k option pneumatic robot grippers,k option pneumatische Roboterzangen,k opzione pinze robot pneumatiche
k passage automatique au mode chauffe,k automatic switch to heating mode,k automatischer übergang zum warmlaufmodus,k passaggio automatico alla modalità riscaldamento
k prise harting,k harting connector,k Harting-Steckverbinder,k connettore Harting
kit n,kit no,bausatz nr,kit n
kit sonde support,probe support kit,Teilesatz Sondenhalter,kit supporto sonda
l l h,l w h,l b h,l l h
l mm d mm,l mm d mm,l mm d mm,l mm d mm
l mm rl mm,l mm rl mm,l mm rl mm,l mm rl mm
l p h,l w h,l b h,l p h
l x l x h,l x w x h,l x b x h,l x l x a
l x w x h,l x w x h,l x b x h,l x l x a
l'abrasif,abrasive,schleifstoff,abrasivo
l'ajout d'une vanne peut être nécessaire,adding a valve may be necessary,das Hinzufügen eines Ventils kann erforderlich sein,potrebbe essere necessario aggiungere una valvola
l'angle d'hélice,helix angle,der Spiralwinkel,angolo d'elica
l'image n'a pas été reconnue,the image was not recognized,das bild wurde nicht erkannt,l'immagine non è stata riconosciuta
l'unité doit être des tmin,the unit must be tmin,die einheit muss umin sein,l'unità deve essere in girimin
l'unité doit être des tr/min,the unit must be rpm,die einheit muss u/min sein,l'unità deve essere in giri/min
l'écart doit être maximum mm,the deviation must be maximum mm,die abweichung darf maximal mm sein,lo scostamento deve essere massimo mm
label b,label b,kennzeichnung b,etichetta b
label b connecteur électrique,electrical connector label b,elektrischer Steckverbinder mit der Kennzeichnung B,etichetta B connettore elettrico
label des tuyaux pneumatiques,label of pneumatic hoses,kennzeichnung der druckluftschläuche,etichetta dei tubi pneumatici
lacier rapide fritté pm,pm sintered high-speed steel,pm schnellarbeitsstahl pulvermetall,acciaio rapido sinterizzato pm
lacier rapide hss,high speed steel (hss),schnellarbeitsstahl hss werkzeugstahl,acciaio rapido hss
ladder,ladder,Leiter,ladder
l'affichage doit commuter on/off,the display must switch on/off,die Anzeige muss auf on/off umschalten,il display deve commutare on/off
lair doit être propre,the air must be clean,die druckluft muss sauber sein,laria deve essere pulita
laisser,to leave,lassen,lasciare
laisser au minimum mm selon photo,leave at least mm as shown in the photo,mindestens mm lassen gemäß dem Foto,lasciare minimo mm secondo foto
laissez couler l'eau jusqu'au niveau,let the water flow until the level,das Wasser bis zum Füllstand laufen lassen,lasciare scorrere l'acqua fino al livello
lalarme indiquée ci dessous apparait,the alarm shown below appears,der folgende alarm erscheint,lallarme indicato qui sotto appare
lalarme indiquée ci dessous apparaît,the alarm shown below appears,der folgende alarm erscheint,lallarme indicato qui sotto appare
lamelle ressort,spring leaf,Federblech,lamella a molla
lampe,lamp,Lampe,lampada
lampe obturateur ouvert,shutter open indicator lamp,Lampe Verschluss offen,lampada otturatore aperto
lampe orange,orange lamp,orangefarbene lampe,lampada arancione
lampe rouge,red lamp,rote lampe,lampada rossa
lampe système laser enclenché,laser system on indicator lamp,Lampe Lasersystem eingeschaltet,lampada sistema laser attivata
lampe verte,green lamp,grüne Lampe,lampada verde
lampes,lamps,Lampen,lampade
lancer,start,launch,avviare
lancer burcalc v,start burcalc v,burcalc v starten,lanciare burcalc v
lancer l'exécutable,run the executable,das Programm starten,lanciare il file eseguibile
lancer vgpro et choisir taraud,start vgpro and select tap,vgpro starten und Gewindebohrer auswählen,avviare vgpro e scegliere maschi
langue,tongue,Zunge,lingua
langue f,language f,sprache f,lingua f
larbre des opérations,operation tree,Baumstruktur der Operationen,l'albero delle operazioni
larbre des opérations permet,the operations tree allows,der Operationenbaum ermöglicht,lalbero delle operazioni consente
largeur,width,Breite,larghezza
largeur dépouille,relief width,Freibreite,larghezza di scarico
largeur et longueur,width and length,breite und länge,larghezza e lunghezza
largeur maxi,maximum width,maximale Breite,larghezza massima
largeur témoin cylindrique proportionnel au diamètre,cylindrical reference width proportional to diameter,zylindrische fasenbreite proportional zum durchmesser,larghezza di riferimento cilindrica proporzionale al diametro
largeurs mm,widths mm,Breiten mm,larghezze mm
laser,laser,laser,laser
laser action ficher specifique,specific laser action file,Laseraktions-Spezialdatei,file specifico di azione laser
laser action ficier specifique,laser action specific file,Laseraktion spezifische Datei,laser azione file specifico
laser action speciale,laser special action,Laser-Sonderaktion,laser azione speciale
laser arret wobble,laser wobble shutdown,laser wobble aus,laser arresto wobble
laser arrêté,laser off,laser gestoppt,laser arrestato
laser arrêté axes arrêtés,laser off axes stopped,Laser aus Achsen gestoppt,laser spento assi fermi
laser arrêté axes enclenchés,laser off axes engaged,"Laser aus, Achsen eingerastet",laser spento assi innestati
laser demarrage wobble,laser wobble start up,Laser-Start-Wobble,wobble di avvio laser
laser job marquage,laser job marking,Laserauftrag Kennzeichnung,marcatura laser su commessa
laser machine en dry run,laser machine in dry run,Lasermaschine im Dry Run,macchina laser in dry run
laser off/arrêté,laser off,Laser aus,laser spento
laser pas trouvee,laser not found,laser nicht gefunden,laser non trovato
laser positionnement scanner,laser scanner positioning,Laser-Scanner-Positionierung,posizionamento scanner laser
laser set parametre,laser parameters set,Laser-Einstellparameter,parametri laser
laser smart,laser smart,Laser Smart,laser smart
laser smart pro,laser smart pro,Laser Smart Pro,Laser Smart Pro
lasersmart,lasersmart,lasersmart,lasersmart
lasersmart pro,lasersmart pro,lasersmart pro,lasersmart pro
latéral,lateral,seitlich,laterale
lavance dentrée peut être dégressive,the infeed can be degressive,der einfahrvorschub kann degressiv sein,lavanzamento di entrata può essere decrescente
l'axe,axis,Achse,asse
laxe b doit être aligné,the b axis must be aligned,die b achse muss ausgerichtet sein,lasse b deve essere allineato
laxe sélectionné reste allumé,the selected axis remains lit,die gewählte achse leuchtet dauerhaft,l'asse selezionato rimane acceso
laxe z reste à,axis z remains at,die z achse bleibt auf,l'asse z rimane a
leasing expired,expired leasing,abgelaufener Leasingvertrag,leasing scaduto
leasing expired contact rollomatic,leasing expired contact rollomatic,leasing ausgelaufen rollomatic kontaktieren,leasing scaduto contattare rollomatic
leasing will expire in few days,leasing will expire in few days,leasing läuft in wenigen tagen aus,il leasing scadrà tra pochi giorni
lecture seule,read only,nur lesen,sola lettura
led jaune,yellow led,gelbe LED,LED gialla
led rouge,red led,rote LED,led rossa
led rouge mvs,red led mvs,rote LED MVS,led rossa mvs
led témoin,led indicator,LED-Anzeige,indicatore LED
led verte,green led,grüne LED,LED verde
legend,key,legende,legenda
les accidents et incidents,accidents and incidents,unfälle und zwischenfälle,gli incidenti e anomalie
les agrégats laser et hydraulique,laser and hydraulic units,Laser- und Hydraulikaggregate,gli aggregati laser e idraulici
les agrégats placés à l'arrière,the aggregates placed at the rear,die Aggregate an der Rückseite,gli aggregati posizionati sul retro
les anciens modules v sont compatibles,the old v modules are compatible,die alten v module sind kompatibel,i vecchi moduli v sono compatibili
les angles sont asymétriques,the angles are asymmetrical,die winkel sind asymmetrisch,gli angoli sono asimmetrici
les applications principales sont,the main applications are,die wesentlichen anwendungsbereiche sind,le principali applicazioni sono
les assistances robot sur,robot assistance on,Roboterassistenz auf,gli assistenti robot su
les axes cn doivent être graissés,the cnc axes must be lubricated,die cnc achsen müssen geschmiert werden,gli assi cn devono essere lubrificati
les axes et l'arrosage sont bloqués,the axes and coolant supply are blocked,die Achsen und Kühlmittelzufuhr sind blockiert,gli assi e la mandata di refrigerante sono bloccati
les barreaux possèdent,the blanks have,die rohlinge besitzen,le barre possiedono
les boutons,the buttons,die tasten,i pulsanti
les boutons start et stop clignotent,the start and stop buttons are flashing,die Tasten Start und Stop blinken,i tasti Start e Stop lampeggiano
les causes peuvent être les suivantes,the causes may be as follows,die ursachen können folgende sein,le cause possono essere le seguenti
les chargent dans alphacam,load them into alphacam,laden sie in alphacam,li caricano in alphacam
les condensats doivent être vidés,the condensate must be drained,das kondensat muss entleert werden,la condensa deve essere scaricata
les courses maximum sont,the maximum travels are,die max verfahrwege liegen bei,le corse massime sono
les critères sont les suivants,the criteria are as follows,die kriterien sind die folgenden,i criteri sono i seguenti
les céramiques,ceramics,keramik,ceramiche
les deux positions extrêmes relâché,the two extreme released positions,die beiden extremen positionen losgelassen,le due posizioni estreme rilasciate
les dimensions peuvent être librement modifiées,the dimensions can be freely modified,die abmessungen können frei geändert werden,le dimensioni possono essere modificate liberamente
les dimensions sont normalisées,the dimensions are standardized,die dimensionen sind genormt,le dimensioni sono normalizzate
les directions,the directions,die richtungen,le direzioni
les dégagements sont également disponibles,heels are also available,Freistellungen sind ebenfalls verfügbar,gli scarichi sono anche disponibili
les epi appropriés,appropriate ppe,geeignete PSA verwenden,i DPI appropriati
les fichiers,the files,die Dateien,i file
les filtres doivent être contrôlés,the filters must be checked,die filter müssen überprüft werden,i filtri devono essere controllati
les fonctions manuelles hydrauliques,the manual hydraulic functions,die manuellen hydraulischen funktionen,le funzioni manuali idrauliche
les fonctions manuelles sont désactivées,manual functions are deactivated,die manuellen funktionen werden deaktiviert,le funzioni manuali sono disattivate
les fonctions suivantes sont pneumatiques,the following functions are pneumatic,nachstehende funktionen sind pneumatisch,le seguenti funzioni sono pneumatiche
les formes possibles sont,the possible shapes are,mögliche formen,le forme possibili sono
les fusibles amont sont déconnectés,the upstream fuses are disconnected,die vorgeschalteten sicherungen sind getrennt,i fusibili a monte sono scollegati
les goupilles ne doivent pas dépasser,the pins must not protrude,die stifte dürfen nicht überstehen,i perni non devono sporgere
les liants,the binders,bindungen,i leganti
les limes rotatives burs,rotary burrs,rotierfräser burs,lime rotative
les limitations sont les suivantes,the limitations are as follows,es gelten folgende beschränkungen,i limiti sono i seguenti
les logiciels installés seront,the installed software will be,folgende Softwareprogramme werden installiert,i software installati saranno
les machines nécessitent des options fanuc,machines require fanuc options,Maschinen benötigen Fanuc-Optionen,le macchine richiedono opzioni Fanuc
les machines recommandées sont les suivantes,the recommended machines are as follows,folgende maschinen werden empfohlen,le macchine consigliate sono le seguenti
les machines rollomatic,rollomatic machines,rollomatic maschinen,macchine rollomatic
les meilleurs processus polyvalents sont,the best versatile processes are,die besten vielseitigen prozesse sind,i migliori processi versatili sono
les meules et l'arrosage sont arrêtés,the grinding wheels and coolant supply are stopped,die schleifscheiben und kühlmittelzufuhr sind gestoppt,le mole e l'afflusso di refrigerante sono fermi
les meules et l'arrosage sont bloqués,the grinding wheels and coolant supply are blocked,die Schleifscheiben und Kühlmittelzufuhr sind blockiert,le mole e l'afflusso del refrigerante sono bloccati
les meules sont définies par,grinding wheels are defined by,schleifscheiben werden definiert durch,le mole sono definite da
les modules sont utilisés fois,the modules are used times,die module werden zweimal verwendet,i moduli vengono utilizzati due volte
les mouvements daxes sont impossibles,axis movements are not possible,die bewegungen der achsen sind unmöglich,i movimenti degli assi sono impossibili
les métaux purs non ferreux,pure non-ferrous metals,reinen Nichteisenmetalle,i materiali puri non ferrosi
les niveaux peuvent être affichés séparés,layers can be displayed separately,die Layer können separat angezeigt werden,i livelli possono essere visualizzati separatamente
les outils sont maintenant terminés,the tools are now finished,die Werkzeuge sind jetzt fertig,gli utensili sono adesso eseguiti
les outils sont prêt maintenant,the tools are ready now,die werkstücke sind nun fertig,gli utensili sono pronti adesso
les paramètres accessibles sont les suivants,the accessible parameters are as follows,folgende parameter sind zugänglich,i parametri accessibili sono i seguenti
les paramètres principaux sont repris automatiquement,the main parameters are automatically taken over,die wichtigsten parameter werden automatisch übernommen,i parametri principali sono ripresi automaticamente
les pas sont en m,the steps are in m,die schritte sind in m,i passi sono in m
les pc console et calcul séteignent,the console PCs and calculation PCs shut down,der konsolen pc und rechen pc fahren herunter,i PC console e i PC di calcolo si spengono
les pieds arrières,the rear feet,die hinteren Füße,i piedi posteriori
les pinces robots sont fermées,the robot grippers are closed,die beiden roboterzangen sind geschlossen,le pinze del robot sono chiuse
les points,points,die punkte,i punti
les portes coulissantes avant,the front sliding doors,die vorderen schiebetüren,le porte scorrevoli anteriori
les portes se déverrouillent,the doors are unlocked,die türen werden entriegelt,le porte si sbloccano
les portes se verrouillent,the doors are locked,die türen werden verriegelt,le porte si bloccano
les positions des cassettes sont numérotées,the positions of the cassettes are numbered,die positionen der kassetten sind nummeriert,le posizioni delle cassette sono numerate
les positions sont libres recommandé,positions are free recommended,die positionen sind frei empfohlen,le posizioni sono libere consigliato
les pressions recommandées sont les suivantes,the recommended pressures are as follows,folgende drücke werden empfohlen,le pressioni raccomandate sono le seguenti
les principales dimensions,the main dimensions,die wichtigsten abmessungen,le dimensioni principali
les procédures prévues,the prescribed procedures,die vorgesehenen verfahren einhalten,le procedure previste
les protections amovibles tels que,removable protection such as,abnehmbare Schutzeinrichtungen wie,protezioni amovibili come
les périphériques sont déconnectés,the peripherals are disconnected,die peripheriegeräte sind getrennt,i periferici sono sconnessi
les rampes d'arrosage sont symétriques,the coolant distributors are symmetrical,die kühlmittelverteiler sind symmetrisch,i distributori dell'olio sono simmetrici
les tuyaux rigides sont conseillés,rigid pipes are advised,die starren leitungen werden empfohlen,i tubi rigidi sono consigliati
les types principaux sont,the main types are,die wichtigsten typen sind,i tipi principali sono
les usinages par ablation,ablation machining,ablationsbearbeitungen,lavorazioni per ablazione
les valeurs des corrections,the correction values,die korrekturwerte,i valori delle correzioni
les vitesses ci dessous sont des estimations,the speeds below are estimates,die folgenden geschwindigkeiten sind schätzungen,le velocità qui sotto sono stime
levage bras robot,robot arm lift,Roboterarm-Hub,sollevamento braccio robotico
lever lappui en position haute,raise the support to the upper position,die stütze in hochstellung anheben,alzare lappoggio in posizione alta
levier,lever,Hebel,leva
levier uni directionnel,unidirectional lever,unidirektionaler hebel,leva unidirezionale
lexique,glossary,Glossar,lessico
liaison,bond,Bindung,legame
liaison souple et étanche,flexible sealed connection,elastische und dichte Verbindung,collegamento flessibile e stagno
liant,bond,bindung,legante
liant bakélite,bakelite bond,kunstharzbindungen,legante bakelite
liant galvanique ou électrolytique,galvanic or electrolytic bond,galvanische Bindung,legante galvanico o elettrolitico
liant métaliques,metallic bond,metallbindungen,legante metallico
liant métallique ou bronze,metallic or bronze bond,Metallbindung oder Bronze,legante metallico o bronzo
liant métallocéramique,metal-ceramic bond,metallokeramikbindungen,legante metalloceramico
liant résinoïde ou bakélite,resinoid or bakelite bond,kunstharzbindungen,legante resinoide o bachelite
liant vitrifié ou céramique,vitrified or ceramic bond,Keramikbindungen,legante vetrificato o ceramico
liants hybrides dernière génération tyrolit,latest generation hybrid bonds tyrolit,hybridbindungen der neusten generation tyrolit,leganti ibridi di ultima generazione tyrolit
liants métaliques ms,metallic bonds ms,metallbindungen ms,leganti metallici ms
liants polyimides asa bp,polyimide bonds asa bp,polyimidbindungen asa bp,leganti in poliimmide asa bp
liants polyimides ms,polyimide bonds ms,polyimidbindungen ms,leganti in poliimmide ms
liants type b bakélite ou phénolique,"type B bonds, bakelite or phenolic",bindungen typ b bakelit oder phenolharz,"leganti tipo B, bachelite o fenolico"
liants type bm résine métal ou hybrides,bm type bonds resin metal or hybrid,bindungen typ bm kunstharz metall oder hybrid,leganti tipo bm resina metallo o ibridi
liants type bp polyimide,bp type polyimide bonds,bindungen typ bp polyimid,leganti tipo bp poliimmide
liants type g galvanique ou électrolitique,type G bonds galvanic or electrolytic,bindungen typ g galvanisch oder elektrolytisch,leganti tipo G galvanici o elettrolitici
liants type m métallique,type M metal bonds,bindungen typ m metall,leganti tipo M metallici
liants type mv métallocéramiques,mv-type metal-ceramic bonds,bindungen typ mv metallokeramik,leganti tipo mv metalloceramici
liants type v,type v bonds,bindungen typ v,leganti tipo v
liants type v vitrifiés ou céramique,type v vitrified or ceramic bonds,bindungen typ v keramik,leganti tipo v vetrificati o ceramici
liants vitrifiés ms,vitrified bonds ms,keramikbindungen ms,leganti vetrificati ms
librairie,library,Bibliothek,libreria
libre,free,frei,libero
libre pièce finie,free finished piece,frei Fertigteil,libero pezzo finito
libération contre pointe,tailstock released,Freigabe Reitstock,liberazione contropunta
licence,license,Lizenz,licenza
licence expirée contacter rollomatic,license expired contact rollomatic,lizenz abgelaufen rollomatic kontaktieren,licenza scaduta contattare rollomatic
licence invalide,license invalid,lizenz ungültig,licenza non valida
lier des dents,to link teeth,Zähne verbinden,collegamento denti
lier des dentsplaquettes,linking teethtips,zähneschneidplatten verknüpfen,collegamento dentiplacchette
lieu,location,Ort,luogo
lieu dinstallation,installation location,Aufstellungsort,luogo d'installazione
ligne,line,line,linea
ligne par cassette,lines per cassette,Reihen pro Kassette,linee per cassetta
ligne ul,ul line,ul reihe,linea ul
lime rotative,bur,Rotationsfeile,lima rotativa
limitations,limitations,einschränkungen,limitazioni
limite,limit,Grenze,limite
limite course axe b,B axis travel limit,achsenbegrenzung b achse,limite di corsa asse b
limite d'axe y et z,y and z axis limit,y- und z-Achsenbegrenzung,limite asse y e z
limite daxe,axis limit,Achsbegrenzung,limite d'asse
limite daxe y,y axis limit,Y-Achsenbegrenzung,limite asse y
limite daxe z,z axis limit,z-achsenbegrenzung,limite asse z
limite des compétences,limit of competences,einschränkungen hinsichtlich der kompetenzen,limite delle competenze
limite machine,machine limit,begrenzung der maschine,limite macchina
limite matériel,material limitation,einschränkungen hinsichtlich des materials,limite del materiale
limite maximum à ne pas dépasser,do not exceed limit,nicht zu überschreitender grenzwert,limite massimo da non superare
limite n robot axe u,robot stroke limit u axis,Roboterwegbegrenzung Achse U,limite n robot asse u
limite n robot axe u d,robot stroke limit u axis d,Roboterhubbegrenzung Achse U D,limite corsa robot asse U D
limite n robot axe w,robot stroke limit w axis,maximaler Weg im Roboterraum mit W-Achse,limite n robot asse w
limite n robot axe w d,robot stroke limit w axis d,Robothubbegrenze W-Achse D,limite corsa robot asse w d
limites compétences,competence limits,einschränkungen hinsichtlich der kompetenzen,limite delle competenze
limites des buses d'arrosage,coolant nozzle limits,Grenzen der Kühlmitteldüsen,limiti degli ugelli dell'olio
limites des compétences,limits of competence,einschränkungen hinsichtlich der kompetenzen,limite delle competenze
limites matériel,material limits,grenzwerter werkstoff,limiti di materiale
limiteur,limiter,Begrenzer,limitatore
limiteur xd,pressure limiter,Druckbegrenzer,limitatori di pressione
limportexport des paramètres robot,robot parameters importexport,der importexport der roboterparameter,l'importazione-esportazione dei parametri robot
liquide d'arrosage,coolant,kühlschmierstoff,liquido refrigerante
liquide hydraulique,hydraulic fluid,Hydraulikflüssigkeit,liquido idraulico
liquides d'arrosage,coolant fluids,Kühlschmierstoffe,fluidi refrigeranti
liste des alarmes,list of alarms,Liste der Alarmmeldungen,lista degli allarmi
liste des entrées,list of inputs,Liste der Eingänge,lista delle entrate
liste des entréessorties,input-output list,Eingabe-Ausgabeliste,lista delle entrateuscite
liste des entréessorties es,list of inputsoutputs io,liste der ein ausgänge ea,lista delle entrateuscite eu
liste des paramètres laser préprogrammés,list of preprogrammed laser parameters,liste der vorprogrammierten laserparameter,lista del parametri laser preprogrammati
liste des sorties,list of outputs,Liste der Ausgänge,lista delle uscite
liste des séquence des modules,list of module sequences,Liste der Sequenzen der Module,lista delle sequenze dei moduli
liste des séquences modules,list of module sequences,Liste der Modulsequenzen,elenco delle sequenze moduli
liste des variables à modifier,list of variables to be modified,liste der zu ändernden variablen,elenco delle variabili da modificare
listes dalarmes rollomatic,rollomatic alarm lists,liste der rollomatic alarme,elenco di allarmi rollomatic
litres,liters,liter,litri
load type,load type,Lastart,tipo di carico
local,premises,Raum,locale
localisation,location,Lage,posizione
localisation des graisseurs,location of grease fittings,standort der schmiernippel,localizzazione dei lubrificatori
locking screw,locking screw,Klemmschraube,vite di bloccaggio
log,log,log,log
logement,housing,Gehäuse,alloggiamento
logiciel,software,Software,software
logiciel cnc screen,screen cnc software,CNC-Screen-Software,software CNC screen
logiciel cnc service,cnc service software,CNC-Service-Software,software cnc service
logiciel mhis,mhis software,mhis-Software,software mhis
logiciel nanogrind,nanogrind software,Nanogrind-Software,software nanogrind
logiciel psmart,psmart software,psmart-Software,software psmart
logiciel rconnect,rconnect software,rconnect-Software,software rconnect
logiciel rmonitor,monitoring software,Software rmonitor,software di monitoraggio
logiciel virtualgrind pro,virtualgrind pro software,VirtualGrind Pro Software,software virtualgrind pro
long,length,Länge,lunghezza
longue chevelure,long hair,langes offenes haar,capelli lunghi
longueur,length,Länge,lunghezza
longueur affûtée,sharpened length,geschliffene Länge,lunghezza affilata
longueur charge manuelle,manual loading length,länge manuelles laden,lunghezza carico manuale
longueur charge robot,robot loading length,länge roboter laden,lunghezza carico robot
longueur des fourches,fork length,Gabellänge,lunghezza delle forcelle
longueur des plaquettes,pad length,Plattenlänge,lunghezza delle piastrine
longueur l,length l,Länge l,lunghezza l
longueur meulée,grinding length,Schleiflänge,lunghezza molata
longueur mors,grippers length,Backenlänge,lunghezza delle ganasce
longueur mors fixe,fixed jaw length,Länge feste Backe,lunghezza morso fisso
longueur totale,total length,Gesamtlänge,lunghezza totale
longueur totale maxi,max overall length,max Gesamtlänge,lunghezza totale max
longueur utile,useful length,nutzlänge,lunghezza utile
longueur x sur un rayon rg,length x on a radius rg,länge x auf radius rg,lunghezza x su un raggio rg
longueur y sur un rayon rg,length y on a radius rg,länge y auf radius rg,lunghezza y su un raggio rg
longueur épaulement,shoulder length,Schulterlänge,lunghezza spalla
